label,ID,timestamp,jour,heure,datetime
casquette,1,1509952690,2017-11-06,08:18:10,"2017-11-06 08:18:10"
porte-clé,2,1509957354,2017-11-06,09:35:54,"2017-11-06 09:35:54"
porte-clé,3,1509961893,2017-11-06,10:51:33,"2017-11-06 10:51:33"
casquette,4,1509966509,2017-11-06,12:08:29,"2017-11-06 12:08:29"
casquette,5,1509970961,2017-11-06,13:22:41,"2017-11-06 13:22:41"
porte-clé,6,1509975470,2017-11-06,14:37:50,"2017-11-06 14:37:50"
casquette,7,1509979834,2017-11-06,15:50:34,"2017-11-06 15:50:34"
casquette,8,1509984229,2017-11-06,17:03:49,"2017-11-06 17:03:49"
casquette,9,1509988742,2017-11-06,18:19:02,"2017-11-06 18:19:02"
casquette,10,1509993051,2017-11-06,19:30:51,"2017-11-06 19:30:51"
casquette,11,1509997513,2017-11-06,20:45:13,"2017-11-06 20:45:13"
casquette,12,1510002146,2017-11-06,22:02:26,"2017-11-06 22:02:26"
casquette,13,1510006565,2017-11-06,23:16:05,"2017-11-06 23:16:05"
casquette,14,1510011094,2017-11-07,00:31:34,"2017-11-07 00:31:34"
casquette,15,1510015732,2017-11-07,01:48:52,"2017-11-07 01:48:52"
casquette,16,1510019962,2017-11-07,02:59:22,"2017-11-07 02:59:22"
casquette,17,1510024297,2017-11-07,04:11:37,"2017-11-07 04:11:37"
casquette,18,1510028729,2017-11-07,05:25:29,"2017-11-07 05:25:29"
casquette,19,1510033185,2017-11-07,06:39:45,"2017-11-07 06:39:45"
casquette,20,1510037440,2017-11-07,07:50:40,"2017-11-07 07:50:40"
casquette,21,1510042107,2017-11-07,09:08:27,"2017-11-07 09:08:27"
casquette,22,1510046592,2017-11-07,10:23:12,"2017-11-07 10:23:12"
casquette,23,1510050793,2017-11-07,11:33:13,"2017-11-07 11:33:13"
casquette,24,1510055365,2017-11-07,12:49:25,"2017-11-07 12:49:25"
casquette,25,1510059984,2017-11-07,14:06:24,"2017-11-07 14:06:24"
casquette,26,1510064415,2017-11-07,15:20:15,"2017-11-07 15:20:15"
porte-clé,27,1510068815,2017-11-07,16:33:35,"2017-11-07 16:33:35"
casquette,28,1510073139,2017-11-07,17:45:39,"2017-11-07 17:45:39"
casquette,29,1510077735,2017-11-07,19:02:15,"2017-11-07 19:02:15"
casquette,30,1510081991,2017-11-07,20:13:11,"2017-11-07 20:13:11"
casquette,31,1510086368,2017-11-07,21:26:08,"2017-11-07 21:26:08"
casquette,32,1510090707,2017-11-07,22:38:27,"2017-11-07 22:38:27"
casquette,33,1510094990,2017-11-07,23:49:50,"2017-11-07 23:49:50"
casquette,34,1510099657,2017-11-08,01:07:37,"2017-11-08 01:07:37"
casquette,35,1510104314,2017-11-08,02:25:14,"2017-11-08 02:25:14"
casquette,36,1510108553,2017-11-08,03:35:53,"2017-11-08 03:35:53"
casquette,37,1510113119,2017-11-08,04:51:59,"2017-11-08 04:51:59"
casquette,38,1510117324,2017-11-08,06:02:04,"2017-11-08 06:02:04"
casquette,39,1510121888,2017-11-08,07:18:08,"2017-11-08 07:18:08"
casquette,40,1510126260,2017-11-08,08:31:00,"2017-11-08 08:31:00"
casquette,41,1510130910,2017-11-08,09:48:30,"2017-11-08 09:48:30"
casquette,42,1510135448,2017-11-08,11:04:08,"2017-11-08 11:04:08"
casquette,43,1510140073,2017-11-08,12:21:13,"2017-11-08 12:21:13"
casquette,44,1510144434,2017-11-08,13:33:54,"2017-11-08 13:33:54"
casquette,45,1510148892,2017-11-08,14:48:12,"2017-11-08 14:48:12"
porte-clé,46,1510153101,2017-11-08,15:58:21,"2017-11-08 15:58:21"
casquette,47,1510157744,2017-11-08,17:15:44,"2017-11-08 17:15:44"
casquette,48,1510162297,2017-11-08,18:31:37,"2017-11-08 18:31:37"
casquette,49,1510166934,2017-11-08,19:48:54,"2017-11-08 19:48:54"
porte-clé,50,1510171339,2017-11-08,21:02:19,"2017-11-08 21:02:19"
safari,51,1510176003,2017-11-08,22:20:03,"2017-11-08 22:20:03"
casquette,52,1510180573,2017-11-08,23:36:13,"2017-11-08 23:36:13"
porte-clé,53,1510185204,2017-11-09,00:53:24,"2017-11-09 00:53:24"
casquette,54,1510189835,2017-11-09,02:10:35,"2017-11-09 02:10:35"
casquette,55,1510194327,2017-11-09,03:25:27,"2017-11-09 03:25:27"
casquette,56,1510198605,2017-11-09,04:36:45,"2017-11-09 04:36:45"
casquette,57,1510203210,2017-11-09,05:53:30,"2017-11-09 05:53:30"
porte-clé,58,1510207840,2017-11-09,07:10:40,"2017-11-09 07:10:40"
